Kanji;Strokes;"On within Joyo";"Kun within Joyo"
調;15;choo;"shira(beru), totono(u), totono(eru)"
聴;17;choo;ki(ku)
懲;18;choo;"ko(riru), ko(rasu), ko(rashimeru)"
直;8;"choku, 	jiki";"tada(chini), nao(su), nao(ru)"
勅;9;choku;-
捗;10;choku;-
沈;7;chin;"shizu(mu), shizu(meru)"
珍;9;chin;mezura(shii)
朕;10;chin;-
陳;11;chin;-
賃;13;chin;-
鎮;18;chin;"shizu(meru), shizu(maru)"
追;9;tsui;o(u)
椎;12;tsui;-
墜;15;tsui;-
通;10;"tsuu, [tsu]";"too(ru), too(su), kayo(u)"
痛;12;tsuu;"ita(i), ita(mu), ita(meru)"
塚;12;-;tsuka
漬;14;-;"tsu(keru), tsu(karu)"
坪;8;-;tsubo
爪;4;-;"tsume, [tsuma]"
鶴;21;tsuru;-
低;7;tei;"hiku(i), hiku(meru), hiku(maru)"
呈;7;tei;-
廷;7;tei;-
弟;7;"tei, [dai], [de]";otooto
定;8;"tei, 	joo";"sada(meru), sada(maru), sada(ka)"
底;8;tei;soko
抵;8;tei;-
邸;8;tei;-
亭;9;tei;-
貞;9;tei;-
帝;9;tei;-
訂;9;tei;-
庭;10;tei;niwa
逓;10;tei;-
停;11;tei;-
偵;11;tei;-
堤;12;tei;tsutsumi
提;12;tei;sa(geru)
程;12;tei;hodo
艇;13;tei;-
締;15;tei;"shi(maru), shi(meru)"
諦;16;tei;akira(meru)
泥;8;dei;doro
的;8;teki;mato
笛;11;teki;fue
摘;14;teki;tsu(mu)
滴;14;teki;"shizuku, shitata(ru)"
適;14;teki;-
敵;15;teki;kataki
溺;13;deki;obo(reru)
迭;8;tetsu;-
哲;10;tetsu;-
鉄;13;tetsu;-
徹;15;tetsu;-
撤;15;tetsu;-
天;4;ten;"ame, [ama]"
典;8;ten;-
店;8;ten;mise
点;9;ten;-
展;10;ten;-
添;11;ten;"so(eru), so(u)"
転;11;ten;"koro(garu), koro(geru), koro(gasu), koro(bu)"
填;13;ten;-
田;5;den;ta
伝;6;den;"tsuta(waru), tsuta(eru), tsuta(u)"
殿;13;"den, 	ten";"tono, dono"
電;13;den;-
斗;4;to;-
吐;6;to;ha(ku)
妬;8;to;neta(mu)
徒;10;to;-
途;10;to;-
都;11;"to, 	tsu";miyako
渡;12;to;"wata(ru), wata(su)"
塗;13;to;nu(ru)
賭;16;to;ka(keru)
土;3;"do, 	to";tsuchi
奴;5;do;-
努;7;do;tsuto(meru)
度;9;"do, [to], [taku]";tabi
怒;9;do;"ika(ru), oko(ru)"
刀;2;too;katana
冬;5;too;fuyu
灯;6;too;hi
当;6;too;"a(taru), a(teru)"
投;7;too;na(geru)
豆;7;"too, [zu]";mame
東;8;too;higashi
到;8;too;-
逃;9;too;"ni(geru), ni(gasu), noga(su), noga(reru)"
倒;10;too;"tao(reru), tao(su)"
凍;10;too;"koo(ru), kogo(eru)"
唐;10;too;kara
島;10;too;shima
桃;10;too;momo
討;10;too;u(tsu)
透;10;too;"su(ku), su(kasu), su(keru)"
党;10;too;-
悼;11;too;ita(mu)
盗;11;too;nusu(mu)
陶;11;too;-
塔;12;too;-
搭;12;too;-
棟;12;too;"mune, [muna]"
湯;12;too;yu
痘;12;too;-
登;12;"too, 	to";nobo(ru)
答;12;too;"kota(eru), kota(e)"
等;12;too;hito(shii)
筒;12;too;tsutsu
統;12;too;su(beru)
稲;14;too;"ine, [ina]"
踏;15;too;"fu(mu), fu(maeru)"
糖;16;too;-
頭;16;"too, zu, [to]";"atama, kashira"
謄;17;too;-
藤;18;too;fuji
闘;18;too;tataka(u)
騰;20;too;-
同;6;doo;ona(ji)
洞;9;doo;hora
胴;10;doo;-
動;11;doo;"ugo(ku), ugo(kasu)"
堂;11;doo;-
童;12;doo;warabe
道;12;"doo, [too]";michi
働;13;doo;hatara(ku)
銅;14;doo;-
導;15;doo;michibi(ku)
瞳;17;doo;hitomi
峠;9;-;tooge
匿;10;toku;-
特;10;toku;-
得;11;toku;"e(ru), u(ru)"
督;13;toku;-
徳;14;toku;-
篤;16;toku;-
毒;8;doku;-
独;9;doku;hito(ri)
読;14;"doku, toku, [too]";yo(mu)
栃;9;-;[tochi]
凸;5;totsu;-
突;8;totsu;tsu(ku)
届;8;-;"todo(keru), todo(ku)"
屯;4;ton;-
豚;11;ton;buta
頓;13;ton;-
貪;11;don;musabo(ru)
鈍;12;don;"nibu(i), nibu(ru)"
曇;16;don;kumo(ru)
丼;5;-;"donburi, [don]"
那;7;na;-
奈;8;na;-
内;4;"nai, [dai]";uchi
梨;11;-;nashi
謎;17;-;nazo
鍋;17;-;nabe
南;9;"nan, [na]";minami
軟;11;nan;"yawa(raka), yawa(rakai)"
難;18;nan;"kata(i), muzuka(shii)"
二;2;ni;"futa, futa(tsu)"
尼;5;ni;ama
弐;6;ni;-
匂;4;-;nio(u)
肉;6;niku;-
虹;9;-;niji
日;4;"nichi, 	jitsu";"hi, ka"
入;2;nyuu;"i(ru), i(reru), hai(ru)"
乳;8;nyuu;"chichi, chi"
尿;7;nyoo;-
任;6;nin;"maka(seru), maka(su)"
妊;7;nin;-
忍;7;nin;"shino(bu), shino(baseru)"
認;14;nin;mito(meru)
寧;14;nei;-
熱;15;netsu;atsu(i)
年;6;nen;toshi
念;8;nen;-
捻;11;nen;-
粘;11;nen;neba(ru)
燃;16;nen;"mo(eru), mo(yasu), mo(su)"
悩;10;noo;"naya(mu), naya(masu)"
納;10;"noo, [naQ], [na], [nan], [too]";"osa(meru), osa(maru)"
能;10;noo;-
脳;11;noo;-
農;13;noo;-
濃;16;noo;ko(i)
把;7;ha;-
波;8;ha;nami
派;9;ha;-
破;10;ha;"yabu(ru), yabu(reru)"
覇;19;ha;-
馬;10;ba;"uma, [ma]"
婆;11;ba;-
罵;15;ba;nonoshi(ru)
拝;8;hai;oga(mu)
杯;8;hai;sakazuki
背;9;hai;"se, sei, somu(ku), somu(keru)"
肺;9;hai;-
俳;10;hai;-
配;10;hai;kuba(ru)
排;11;hai;-
敗;11;hai;yabu(reru)
廃;12;hai;"suta(reru), suta(ru)"
輩;15;hai;-
売;7;bai;"u(ru), u(reru)"
倍;10;bai;-
梅;10;bai;ume
培;11;bai;tsuchika(u)
陪;11;bai;-
媒;12;bai;-
買;12;bai;ka(u)
賠;15;bai;-
白;5;"haku, 	byaku";"shiro, [shira], shiro(i)"
伯;7;haku;-
拍;8;"haku, [hyoo]";-
泊;8;haku;"to(maru), to(meru)"
迫;8;haku;sema(ru)
剥;10;haku;"ha(gasu), ha(gu), ha(gareru), ha(geru)"
舶;11;haku;-
博;12;"haku, [baku]";-
薄;16;haku;"usu(i), usu(meru), usu(maru), usu(ragu), usu(reru)"
麦;7;baku;mugi
漠;13;baku;-
縛;16;baku;shiba(ru)
爆;19;baku;-
箱;15;-;hako
箸;15;-;hashi
畑;9;-;"hata, hatake"
肌;6;-;hada
八;2;hachi;"ya, ya(tsu), yat(tsu), [yoo]"
鉢;13;"[hatsu], 	hachi";-
発;9;"hatsu, 	hotsu";-
髪;14;hatsu;kami
伐;6;batsu;-
抜;7;batsu;"nu(ku), nu(keru), nu(kasu), nu(karu)"
罰;14;"batsu, 	bachi";-
閥;14;batsu;-
反;4;"han, [hon], [tan]";"so(ru), so(rasu)"
半;5;han;naka(ba)
氾;5;han;-
犯;5;han;oka(su)
帆;6;han;ho
汎;6;han;-
伴;7;"han, 	ban";tomona(u)
判;7;"han, 	ban";-
坂;7;han;saka
阪;7;han;-
板;8;"han, 	ban";ita
版;8;han;-
班;10;han;-
畔;10;han;-
般;10;han;-
販;11;han;-
斑;12;han;-
飯;12;han;meshi
搬;13;han;-
煩;13;"han, [bon]";"wazura(u), wazura(wasu)"
頒;13;han;-
範;15;han;-
繁;16;han;-
藩;18;han;-
晩;12;ban;-
番;12;ban;-
蛮;12;ban;-
盤;15;ban;-
比;4;hi;kura(beru)
皮;5;hi;kawa
妃;6;hi;-
否;7;hi;ina
批;7;hi;-
彼;8;hi;"kare, [kano]"
披;8;hi;-
肥;8;hi;"ko(eru), koe,ko(yasu), ko(yashi)"
非;8;hi;-
卑;9;hi;"iya(shii), iya(shimu), iya(shimeru)"
飛;9;hi;"to(bu), to(basu)"
疲;10;hi;tsuka(reru)
秘;10;hi;hi(meru)
被;10;hi;koomu(ru)
悲;12;hi;"kana(shii), kana(shimu)"
扉;12;hi;tobira
費;12;hi;"tsui(yasu), tsui(eru)"
碑;14;hi;-
罷;15;hi;-
避;16;hi;sa(keru)
尾;7;bi;o
眉;9;"bi, [mi]";mayu
美;9;bi;utsuku(shii)
備;12;bi;"sona(eru), sona(waru)"
微;13;bi;-
鼻;14;bi;hana
膝;15;-;hiza
肘;7;-;hiji
匹;4;hitsu;hiki
必;5;hitsu;kanara(zu)
泌;8;"hitsu, 	hi";-
筆;12;hitsu;fude
姫;10;-;hime
百;6;hyaku;-
氷;5;hyoo;"koori, hi"
表;8;hyoo;"omote, arawa(su), arawa(reru)"
俵;10;hyoo;tawara
票;11;hyoo;-
評;12;hyoo;-
漂;14;hyoo;tadayo(u)
標;15;hyoo;-
苗;8;byoo;"nae, [nawa]"
秒;9;byoo;-
病;10;"byoo, [hei]";"ya(mu), yamai"
描;11;byoo;"ega(ku), ka(ku)"
猫;11;byoo;neko
品;9;hin;shina
浜;10;hin;hama
貧;11;"hin, 	bin";mazu(shii)
賓;15;hin;-
頻;17;hin;-
敏;10;bin;-
瓶;11;bin;-
不;4;"fu, 	bu";-
夫;4;"fu, [fuu]";otto
父;4;fu;chichi
付;5;fu;"tsu(keru), tsu(ku)"
布;5;fu;nuno
扶;7;fu;-
府;8;fu;-
怖;8;fu;kowa(i)
阜;8;[fu];-
附;8;fu;-
訃;9;fu;-
負;9;fu;"ma(keru), ma(kasu), o(u)"
赴;9;fu;omomu(ku)
浮;10;fu;"u(ku), u(kareru), u(kabu), u(kaberu)"
婦;11;fu;-
符;11;fu;-
富;12;"fu, [fuu]";"to(mu), tomi"
普;12;fu;-
腐;14;fu;"kusa(ru), kusa(reru), kusa(rasu)"
敷;15;fu;shi(ku)
膚;15;fu;-
賦;15;fu;-
譜;19;fu;-
侮;8;bu;anado(ru)
武;8;"bu, 	mu";-
部;11;bu;-
舞;15;bu;"ma(u), mai"
封;9;"fuu, 	hoo";-
風;9;"fuu, [fu]";"kaze, [kaza]"
伏;6;fuku;"fu(seru), fu(su)"
服;8;fuku;-
副;11;fuku;-
幅;12;fuku;haba
復;12;fuku;-
福;13;fuku;-
腹;13;fuku;hara
複;14;fuku;-
覆;18;fuku;"oo(u), kutsugae(su), kutsugae(ru)"
払;5;futsu;hara(u)
沸;8;futsu;"wa(ku), wa(kasu)"
仏;4;butsu;hotoke
物;8;"butsu, 	motsu";mono
粉;10;fun;ko,kona
紛;10;fun;"magi(reru), magi(rasu), magi(rawasu), magi(rawashii)"
雰;12;fun;-
噴;15;fun;fu(ku)
墳;15;fun;-
憤;15;fun;ikidoo(ru)
奮;16;fun;furu(u)
分;4;"bun, fun, bu";"wa(keru), wa(kareru), wa(karu), wa(katsu)"
文;4;"bun, 	mon";fumi
聞;14;"bun, 	mon";"ki(ku), ki(koeru)"
丙;5;hei;-
平;5;"hei, 	byoo";"tai(ra), hira"
兵;7;"hei, 	hyoo";-
併;8;hei;awa(seru)
並;8;hei;"nami, mara(beru), nara(bu), nara(bini)"
柄;9;hei;"gara, e"
陛;10;hei;-
閉;11;hei;"to(jiru), to(zasu), shi(meru), shi(maru)"
塀;12;hei;-
幣;15;hei;-
弊;15;hei;-
蔽;15;hei;-
餅;15;hei;mochi
米;6;"bei, 	mai";kome
壁;16;heki;kabe
璧;18;heki;-
癖;18;heki;kuse
別;7;betsu;waka(reru)
蔑;14;betsu;sagesu(mu)
片;4;hen;kata
辺;5;hen;"ata(ri), be"
返;7;hen;"kae(su), kae(ru)"
変;9;hen;"ka(waru), ka(eru)"
偏;11;hen;katayo(ru)
遍;12;hen;-
編;15;hen;a(mu)
弁;5;ben;-
便;9;"ben, 	bin";tayo(ri)
勉;10;ben;-
歩;8;"ho, bu, [fu]";"aru(ku), ayu(mu)"
保;9;ho;tamo(tsu)
哺;10;ho;-
捕;10;ho;"to(raeru), to(rawareru), to(ru), tsuka(maeru), tsuka(maru)"
補;12;ho;ogina(u)
舗;15;ho;-
母;5;bo;haha
募;12;bo;tsuno(ru)
墓;13;bo;haka
慕;14;bo;shita(u)
暮;14;bo;"ku(reru), ku(rasu)"
簿;19;bo;-
方;4;hoo;kata
包;5;hoo;tsutsu(mu)
芳;7;hoo;kanba(shii)
邦;7;hoo;-
奉;8;"hoo, [bu]";tatematsu(ru)
宝;8;hoo;takara
抱;8;hoo;"da(ku), ida(ku), kaka(eru)"
放;8;hoo;"hana(su), hana(tsu), hana(reru), hoo(ru)"
法;8;"hoo, [haQ], [hoQ]";-
泡;8;hoo;awa
胞;9;hoo;-
俸;10;hoo;-
倣;10;hoo;nara(u)
峰;10;hoo;mine
砲;10;hoo;-
崩;11;hoo;"kuzu(reru), kuzu(su)"
訪;11;hoo;"otozu(reru), tazu(neru)"
報;12;hoo;muku(iru)
蜂;13;hoo;hachi
豊;13;hoo;yuta(ka)
飽;13;hoo;"a(kiru), a(kasu)"
褒;15;hoo;ho(meru)
縫;16;hoo;nu(u)
亡;3;"boo, [moo]";na(-i)
乏;4;boo;tobo(shii)
忙;6;boo;isoga(shii)
坊;7;"boo, [boQ]";-
妨;7;boo;samata(geru)
忘;7;boo;wasu(reru)
防;7;boo;fuse(gu)
房;8;boo;fusa
肪;8;boo;-
某;9;boo;-
冒;9;boo;oka(su)
剖;10;boo;-
紡;10;boo;tsumu(gu)
望;11;"boo, 	moo";nozo(mu)
傍;12;boo;katawa(ra)
帽;12;boo;-
棒;12;boo;-
貿;12;boo;-
貌;14;boo;-
暴;15;"boo, [baku]";"aba(ku), aba(reru)"
膨;16;boo;"fuku(ramu), fuku(reru)"
謀;16;"boo, [mu]";haka(ru)
頬;16;hoo;-
北;5;hoku;kita
木;4;"boku, 	moku";"ki, [ko]"
朴;6;boku;-
牧;8;boku;maki
睦;13;boku;-
僕;14;boku;-
墨;14;boku;sumi
撲;15;boku;-
没;7;botsu;-
勃;9;botsu;-
堀;11;-;hori
本;5;hon;moto
奔;8;hon;-
翻;18;hon;"hirugae(ru), hirugae(su)"
凡;3;"bon, [han]";-
盆;9;bon;-
麻;11;ma;asa
摩;15;ma;-
磨;16;ma;miga(ku)
魔;21;ma;-
毎;6;mai;-
妹;8;mai;imooto
枚;8;mai;-
昧;9;mai;-
埋;10;mai;"u(meru), u(maru), u(moreru)"
幕;13;"maku, 	baku";-
膜;14;maku;-
枕;8;-;makura
又;2;-;mata
末;5;"matsu, 	batsu";sue
抹;8;matsu;-
万;3;"man, 	ban";-
満;12;man;"mi(chiru), mi(tasu)"
慢;14;man;-
漫;14;man;-
未;5;mi;-
味;8;mi;"aji, aji(wau)"
魅;15;mi;-
岬;8;-;misaki
密;11;mitsu;-
蜜;14;mitsu;-
脈;10;myaku;-
妙;7;myoo;-
民;5;min;tami
眠;10;min;"nemu(ru), nemu(i)"
矛;5;mu;hoko
務;11;mu;"tsuto(meru), tsuto(maru)"
無;12;"mu, 	bu";na(i)
夢;13;mu;yume
霧;19;mu;kiri
娘;10;-;musume
名;6;"mei, 	myoo";na
命;8;"mei, 	myoo";inochi
明;8;"mei, 	myoo";"a(kari), aka(rui), aka(rumu), aka(ramu), aki(raka), a(keru), a(ku), a(kuru), a(kasu)"
迷;9;mei;mayo(u)
冥;10;"mei, myoo";-
盟;13;mei;-
銘;14;mei;-
鳴;14;mei;"na(ku), na(ru), na(rasu)"
滅;13;metsu;"horo(biru), horo(bosu)"
免;8;men;manuka(reru)
面;9;men;"omo, omote, tsura"
綿;14;men;wata
麺;16;men;-
茂;8;mo;shige(ru)
模;14;"mo, 	bo";-
毛;4;moo;ke
妄;6;"moo, 	boo";-
盲;8;moo;-
耗;10;"moo, [koo]";-
猛;11;moo;-
網;14;moo;ami
目;5;"moku, [boku]";"me, [ma]"
黙;15;moku;dama(ru)
門;8;mon;kado
紋;10;mon;-
問;11;mon;"to(u), to(i), [ton]"
冶;7;ya;-
夜;8;ya;"yo, yoru"
野;11;ya;no
弥;8;-;ya
厄;4;yaku;-
役;7;"eki, 	yaku";-
約;9;yaku;-
訳;11;yaku;wake
薬;16;yaku;kusuri
躍;21;yaku;odo(ru)
闇;17;-;yami
由;5;"yu, yuu, [yui]";yoshi
油;8;yu;abura
喩;12;yu;-
愉;12;yu;-
諭;16;yu;sato(su)
輸;16;yu;-
癒;18;yu;"i(eru), i(yasu)"
唯;11;"yui, [i]";-
友;4;yuu;tomo
有;6;"yuu, 	u";a(ru)
勇;9;yuu;isa(mu)
幽;9;yuu;-
悠;11;yuu;-
郵;11;yuu;-
湧;12;yuu;wa(ku)
猶;12;yuu;-
裕;12;yuu;-
遊;12;"yuu, [yu]";aso(bu)
雄;12;yuu;"o, osu"
誘;14;yuu;saso(u)
憂;15;yuu;"ure(eru), ure(i), u(i)"
融;16;yuu;-
優;17;yuu;"yasa(shii), sugu(reru)"
与;3;yo;ata(eru)
予;4;yo;-
余;7;yo;"ama(ru), ama(su)"
誉;13;yo;homa(re)
預;13;yo;"azu(keru), azu(karu)"
幼;5;yoo;osana(i)
用;5;yoo;mochi(iru)
羊;6;yoo;hitsuji
妖;7;yoo;aya(shii)
洋;9;yoo;-
要;9;yoo;"kaname, i(ru)"
容;10;yoo;-
庸;11;yoo;-
揚;12;yoo;"a(geru), a(garu)"
揺;12;yoo;"yu(reru), yu(ru), yu(ragu), yu(rugu), yu(suru), yu(saburu), yu(suburu)"
葉;12;yoo;ha
陽;12;yoo;-
溶;13;yoo;"to(keru), to(kasu), to(ku)"
腰;13;yoo;koshi
様;14;yoo;sama
瘍;14;yoo;-
踊;14;yoo;"odo(ru), odo(ri)"
窯;15;yoo;kama
養;15;yoo;yashina(u)
擁;16;yoo;-
謡;16;yoo;"utai, uta(u)"
曜;18;yoo;-
抑;7;yoku;osa(eru)
沃;7;yoku;-
浴;10;yoku;"a(biru), a(biseru)"
欲;11;yoku;"hos(suru), ho(shii)"
翌;11;yoku;-
翼;17;yoku;tsubasa
拉;8;ra;-
裸;13;ra;hadaka
羅;19;ra;-
来;7;rai;"ku(ru), kita(ru), kita(su)"
雷;13;rai;kaminari
頼;16;rai;"tano(mu), tano(moshii), tayo(ru)"
絡;12;raku;"kara(mu), kara(maru), kara(meru)"
落;12;raku;"o(chiru), o(tosu)"
酪;13;raku;-
辣;14;ratsu;-
乱;7;ran;"mida(reru), mida(su)"
卵;7;ran;tamago
覧;17;ran;-
濫;18;ran;-
藍;18;ran;ai
欄;20;ran;-
吏;6;ri;-
利;7;ri;ki(ku)
里;7;ri;sato
理;11;ri;-
痢;12;ri;-
裏;13;ri;ura
履;15;ri;ha(ku)
璃;15;ri;-
離;19;ri;"hana(reru), hana(su)"
陸;11;riku;-
立;5;"ritsu, [ryuu]";"ta(tsu), ta(teru)"
律;9;"ritsu, [richi]";-
慄;13;ritsu;-
略;11;ryaku;-
柳;9;ryuu;yanagi
流;10;"ryuu, [ru]";"naga(reru), naga(su)"
留;10;"ryuu, [ru]";"to(meru), to(maru)"
竜;10;ryuu;tatsu
粒;11;ryuu;tsubu
隆;11;ryuu;-
硫;12;ryuu;-
侶;9;ryo;-
旅;10;ryo;tabi
虜;13;ryo;-
慮;15;ryo;-
了;2;ryoo;-
両;6;ryoo;-
良;7;ryoo;yo(i)
料;10;ryoo;-
涼;11;ryoo;"suzu(shii), suzu(mu)"
猟;11;ryoo;-
陵;11;ryoo;misasagi
量;12;ryoo;haka(ru)
僚;14;ryoo;-
領;14;ryoo;-
寮;15;ryoo;-
療;17;ryoo;-
瞭;17;ryoo;-
糧;18;"ryoo, [roo]";kate
力;2;"ryoku, 	riki";chikara
緑;14;"ryoku, [roku]";midori
林;8;rin;hayashi
厘;9;rin;-
倫;10;rin;-
輪;15;rin;wa
隣;16;rin;"tona(ru), tonari"
臨;18;rin;nozo(mu)
瑠;14;ru;-
涙;10;rui;namida
累;11;rui;-
塁;12;rui;-
類;18;rui;tagu(i)
令;5;rei;-
礼;5;"rei, 	rai";-
冷;7;rei;"tsume(tai), hi(eru), hi(ya), hi(yasu), hi(yakasu), sa(meru), sa(masu)"
励;7;rei;"hage(mu), hage(masu)"
戻;7;rei;"modo(ru), modo(su)"
例;8;rei;tato(eru)
鈴;13;"rei, 	rin";suzu
零;13;rei;-
霊;15;"rei, 	ryoo";tama
隷;16;rei;-
齢;17;rei;-
麗;19;rei;uruwa(shii)
暦;14;reki;koyomi
歴;14;reki;-
列;6;retsu;-
劣;6;retsu;oto(ru)
烈;10;retsu;-
裂;12;retsu;"sa(ku), sa(keru)"
恋;10;ren;"ko(u), koi, koi(shii)"
連;10;ren;"tsura(naru), tsura(neru), tsu(reru)"
廉;13;ren;-
練;14;ren;ne(ru)
錬;16;ren;-
呂;7;ro;-
炉;8;ro;-
賂;13;ro;-
路;13;ro;ji
露;21;"ro, [roo]";tsuyu
老;6;roo;"o(iru), fu(keru)"
労;7;roo;-
弄;7;roo;moteaso(bu)
郎;9;roo;-
朗;10;roo;hoga(raka)
浪;10;roo;-
廊;12;roo;-
楼;13;roo;-
漏;14;roo;"mo(ru), mo(reru), mo(rasu)"
籠;22;roo;"kago, ko(moru)"
六;4;roku;"mu, mu(tsu), mut(tsu), [mui]"
録;16;roku;-
麓;19;roku;fumoto
論;15;ron;-
和;8;"wa, [o]";"yawa(ragu), yawa(rageru), nago(mu), nago(yaka)"
話;13;wa;"hana(su), hanashi"
賄;13;wai;makana(u)
脇;10;-;waki
惑;12;waku;mado(u)
枠;8;-;waku
湾;12;wan;-
腕;12;wan;ude
